0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"(157, 9)","(164, 2)","(55, 1)","(59, 9)","(190, 11)","(38, 10)","(43, 7)","(221, 3)","(184, 5)","(124, 5)","(57, 3)","(156, 12)","(46, 11)","(159, 0)","(32, 2)","(8, 0)","(240, 4)","(204, 12)","(139, 12)","(238, 13)","(97, 12)","(93, 4)","(22, 4)","(118, 12)","(11, 3)","(40, 8)","(26, 14)","(178, 6)","(28, 3)","(66, 2)","(18, 12)","(161, 13)","(16, 6)","(168, 14)","(103, 9)","(210, 9)","(127, 2)","(50, 7)","(198, 10)","(37, 8)","(223, 14)","(29, 11)","(63, 0)","(45, 6)","(148, 5)","(235, 9)","(181, 11)","(75, 4)","(183, 6)","(68, 13)","(149, 13)","(117, 9)","(97, 6)","(139, 7)","(181, 9)","(36, 5)","(121, 12)","(174, 8)","(113, 10)","(88, 3)","(108, 7)","(30, 5)","(56, 13)","(141, 2)","(236, 12)","(85, 3)","(57, 6)","(221, 7)","(20, 9)","(46, 2)","(193, 8)","(196, 1)","(125, 7)","(49, 12)","(235, 10)","(66, 5)","(126, 13)","(48, 3)","(155, 13)","(101, 8)","(229, 6)","(20, 6)","(102, 8)","(81, 9)","(28, 0)","(209, 14)","(158, 10)","(64, 3)","(62, 13)","(179, 4)","(130, 12)","(166, 6)","(127, 5)","(69, 7)","(84, 4)","(109, 13)","(118, 10)","(220, 6)","(116, 10)","(1, 6)"
"(157, 14)","(164, 10)","(55, 5)","(59, 6)","(190, 10)","(38, 13)","(43, 1)","(221, 12)","(184, 12)","(124, 2)","(57, 13)","(156, 8)","(46, 9)","(159, 4)","(32, 10)","(8, 5)","(240, 1)","(204, 6)","(139, 1)","(238, 10)","(97, 4)","(93, 9)","(22, 9)","(118, 4)","(11, 12)","(40, 10)","(26, 8)","(178, 10)","(28, 14)","(66, 7)","(18, 0)","(161, 11)","(16, 9)","(168, 1)","(103, 11)","(210, 10)","(127, 3)","(50, 11)","(198, 1)","(37, 1)","(223, 0)","(29, 4)","(63, 2)","(45, 11)","(148, 7)","(235, 6)","(181, 6)","(75, 1)","(183, 3)","(68, 4)","(149, 5)","(117, 13)","(97, 1)","(139, 3)","(181, 3)","(36, 12)","(121, 11)","(174, 12)","(113, 7)","(88, 11)","(108, 2)","(30, 10)","(56, 3)","(141, 4)","(236, 8)","(85, 9)","(57, 10)","(221, 9)","(20, 0)","(46, 12)","(193, 4)","(196, 7)","(125, 10)","(49, 9)","(235, 3)","(66, 10)","(126, 6)","(48, 5)","(155, 4)","(101, 0)","(229, 13)","(20, 11)","(102, 12)","(81, 7)","(28, 9)","(209, 8)","(158, 4)","(64, 12)","(62, 0)","(179, 13)","(130, 6)","(166, 14)","(127, 5)","(69, 3)","(84, 14)","(109, 0)","(118, 13)","(220, 4)","(116, 0)","(1, 11)"
"(157, 8)","(164, 11)","(55, 13)","(59, 14)","(190, 5)","(38, 2)","(43, 13)","(221, 11)","(184, 3)","(124, 3)","(57, 9)","(156, 11)","(46, 7)","(159, 13)","(32, 1)","(8, 12)","(240, 3)","(204, 1)","(139, 1)","(238, 12)","(97, 8)","(93, 14)","(22, 2)","(118, 9)","(11, 8)","(40, 7)","(26, 9)","(178, 12)","(28, 8)","(66, 3)","(18, 3)","(161, 8)","(16, 14)","(168, 8)","(103, 3)","(210, 6)","(127, 13)","(50, 0)","(198, 8)","(37, 4)","(223, 7)","(29, 8)","(63, 3)","(45, 4)","(148, 8)","(235, 5)","(181, 10)","(75, 7)","(183, 11)","(68, 11)","(149, 0)","(117, 5)","(97, 12)","(139, 14)","(181, 3)","(36, 14)","(121, 2)","(174, 9)","(113, 14)","(88, 0)","(108, 11)","(30, 2)","(56, 10)","(141, 8)","(236, 6)","(85, 8)","(57, 6)","(221, 12)","(20, 13)","(46, 9)","(193, 2)","(196, 10)","(125, 5)","(49, 8)","(235, 14)","(66, 5)","(126, 2)","(48, 13)","(155, 10)","(101, 2)","(229, 4)","(20, 3)","(102, 0)","(81, 10)","(28, 7)","(209, 9)","(158, 8)","(64, 11)","(62, 11)","(179, 0)","(130, 8)","(166, 10)","(127, 5)","(69, 1)","(84, 2)","(109, 12)","(118, 12)","(220, 7)","(116, 6)","(1, 9)"
"(157, 10)","(164, 14)","(55, 14)","(59, 2)","(190, 4)","(38, 4)","(43, 6)","(221, 7)","(184, 13)","(124, 11)","(57, 0)","(156, 9)","(46, 14)","(159, 2)","(32, 5)","(8, 8)","(240, 13)","(204, 8)","(139, 9)","(238, 6)","(97, 10)","(93, 8)","(22, 8)","(118, 13)","(11, 5)","(40, 12)","(26, 1)","(178, 9)","(28, 0)","(66, 9)","(18, 4)","(161, 2)","(16, 8)","(168, 11)","(103, 10)","(210, 8)","(127, 8)","(50, 10)","(198, 9)","(37, 7)","(223, 13)","(29, 13)","(63, 13)","(45, 12)","(148, 14)","(235, 4)","(181, 5)","(75, 14)","(183, 10)","(68, 9)","(149, 11)","(117, 7)","(97, 5)","(139, 6)","(181, 10)","(36, 1)","(121, 7)","(174, 1)","(113, 11)","(88, 13)","(108, 14)","(30, 14)","(56, 5)","(141, 8)","(236, 4)","(85, 7)","(57, 7)","(221, 13)","(20, 13)","(46, 9)","(193, 10)","(196, 14)","(125, 6)","(49, 2)","(235, 0)","(66, 6)","(126, 7)","(48, 11)","(155, 5)","(101, 4)","(229, 2)","(20, 4)","(102, 6)","(81, 0)","(28, 1)","(209, 5)","(158, 0)","(64, 9)","(62, 2)","(179, 3)","(130, 7)","(166, 5)","(127, 2)","(69, 10)","(84, 0)","(109, 8)","(118, 11)","(220, 13)","(116, 9)","(1, 1)"
"(157, 11)","(164, 13)","(55, 10)","(59, 3)","(190, 8)","(38, 0)","(43, 14)","(221, 0)","(184, 14)","(124, 0)","(57, 6)","(156, 6)","(46, 5)","(159, 5)","(32, 13)","(8, 13)","(240, 14)","(204, 3)","(139, 11)","(238, 2)","(97, 13)","(93, 12)","(22, 1)","(118, 11)","(11, 4)","(40, 2)","(26, 7)","(178, 13)","(28, 10)","(66, 11)","(18, 11)","(161, 12)","(16, 1)","(168, 3)","(103, 6)","(210, 3)","(127, 7)","(50, 13)","(198, 3)","(37, 5)","(223, 2)","(29, 12)","(63, 7)","(45, 8)","(148, 1)","(235, 11)","(181, 3)","(75, 11)","(183, 0)","(68, 14)","(149, 3)","(117, 10)","(97, 9)","(139, 4)","(181, 7)","(36, 11)","(121, 9)","(174, 10)","(113, 1)","(88, 1)","(108, 13)","(30, 7)","(56, 8)","(141, 3)","(236, 2)","(85, 11)","(57, 13)","(221, 11)","(20, 4)","(46, 8)","(193, 1)","(196, 3)","(125, 11)","(49, 1)","(235, 0)","(66, 1)","(126, 0)","(48, 4)","(155, 14)","(101, 11)","(229, 14)","(20, 10)","(102, 1)","(81, 12)","(28, 2)","(209, 2)","(158, 1)","(64, 1)","(62, 4)","(179, 6)","(130, 9)","(166, 4)","(127, 5)","(69, 5)","(84, 1)","(109, 10)","(118, 4)","(220, 8)","(116, 13)","(1, 4)"
"(157, 10)","(164, 5)","(55, 11)","(59, 1)","(190, 5)","(38, 9)","(43, 3)","(221, 10)","(184, 8)","(124, 13)","(57, 7)","(156, 3)","(46, 6)","(159, 12)","(32, 3)","(8, 2)","(240, 2)","(204, 4)","(139, 14)","(238, 6)","(97, 5)","(93, 3)","(22, 14)","(118, 4)","(11, 4)","(40, 6)","(26, 5)","(178, 9)","(28, 14)","(66, 5)","(18, 10)","(161, 4)","(16, 9)","(168, 1)","(103, 10)","(210, 14)","(127, 6)","(50, 5)","(198, 11)","(37, 3)","(223, 11)","(29, 13)","(63, 11)","(45, 5)","(148, 8)","(235, 10)","(181, 0)","(75, 6)","(183, 10)","(68, 2)","(149, 2)","(117, 11)","(97, 13)","(139, 5)","(181, 11)","(36, 2)","(121, 11)","(174, 8)","(113, 12)","(88, 10)","(108, 2)","(30, 11)","(56, 12)","(141, 0)","(236, 14)","(85, 12)","(57, 12)","(221, 5)","(20, 11)","(46, 4)","(193, 13)","(196, 5)","(125, 8)","(49, 4)","(235, 6)","(66, 8)","(126, 3)","(48, 10)","(155, 12)","(101, 14)","(229, 14)","(20, 5)","(102, 11)","(81, 1)","(28, 12)","(209, 4)","(158, 2)","(64, 4)","(62, 6)","(179, 1)","(130, 9)","(166, 9)","(127, 6)","(69, 11)","(84, 10)","(109, 13)","(118, 3)","(220, 2)","(116, 5)","(1, 14)"
"(157, 7)","(164, 1)","(55, 7)","(59, 9)","(190, 13)","(38, 12)","(43, 2)","(221, 5)","(184, 7)","(124, 9)","(57, 13)","(156, 12)","(46, 14)","(159, 9)","(32, 13)","(8, 1)","(240, 5)","(204, 7)","(139, 2)","(238, 5)","(97, 8)","(93, 9)","(22, 12)","(118, 10)","(11, 8)","(40, 8)","(26, 5)","(178, 4)","(28, 13)","(66, 12)","(18, 11)","(161, 1)","(16, 13)","(168, 3)","(103, 3)","(210, 2)","(127, 13)","(50, 9)","(198, 7)","(37, 13)","(223, 8)","(29, 7)","(63, 6)","(45, 13)","(148, 1)","(235, 14)","(181, 9)","(75, 7)","(183, 9)","(68, 14)","(149, 1)","(117, 14)","(97, 12)","(139, 10)","(181, 12)","(36, 8)","(121, 10)","(174, 2)","(113, 7)","(88, 8)","(108, 5)","(30, 12)","(56, 11)","(141, 3)","(236, 1)","(85, 7)","(57, 11)","(221, 4)","(20, 2)","(46, 7)","(193, 3)","(196, 1)","(125, 12)","(49, 0)","(235, 4)","(66, 14)","(126, 12)","(48, 0)","(155, 11)","(101, 12)","(229, 4)","(20, 14)","(102, 5)","(81, 9)","(28, 5)","(209, 4)","(158, 13)","(64, 3)","(62, 1)","(179, 4)","(130, 13)","(166, 14)","(127, 12)","(69, 0)","(84, 0)","(109, 12)","(118, 1)","(220, 3)","(116, 12)","(1, 8)"
"(157, 13)","(164, 10)","(55, 2)","(59, 12)","(190, 11)","(38, 3)","(43, 6)","(221, 4)","(184, 14)","(124, 11)","(57, 14)","(156, 7)","(46, 8)","(159, 6)","(32, 7)","(8, 8)","(240, 10)","(204, 3)","(139, 0)","(238, 4)","(97, 10)","(93, 11)","(22, 13)","(118, 0)","(11, 7)","(40, 10)","(26, 3)","(178, 3)","(28, 8)","(66, 3)","(18, 7)","(161, 14)","(16, 7)","(168, 14)","(103, 4)","(210, 6)","(127, 2)","(50, 2)","(198, 0)","(37, 9)","(223, 10)","(29, 4)","(63, 12)","(45, 7)","(148, 13)","(235, 3)","(181, 7)","(75, 11)","(183, 0)","(68, 1)","(149, 11)","(117, 5)","(97, 11)","(139, 8)","(181, 11)","(36, 10)","(121, 0)","(174, 3)","(113, 2)","(88, 5)","(108, 4)","(30, 8)","(56, 14)","(141, 4)","(236, 0)","(85, 6)","(57, 2)","(221, 2)","(20, 4)","(46, 5)","(193, 8)","(196, 13)","(125, 9)","(49, 8)","(235, 8)","(66, 11)","(126, 4)","(48, 14)","(155, 7)","(101, 6)","(229, 6)","(20, 8)","(102, 0)","(81, 3)","(28, 5)","(209, 10)","(158, 8)","(64, 5)","(62, 10)","(179, 10)","(130, 12)","(166, 6)","(127, 13)","(69, 6)","(84, 12)","(109, 11)","(118, 12)","(220, 0)","(116, 3)","(1, 10)"
"(157, 11)","(164, 11)","(55, 5)","(59, 10)","(190, 10)","(38, 14)","(43, 8)","(221, 12)","(184, 4)","(124, 8)","(57, 3)","(156, 9)","(46, 4)","(159, 13)","(32, 0)","(8, 4)","(240, 14)","(204, 4)","(139, 9)","(238, 1)","(97, 1)","(93, 5)","(22, 7)","(118, 8)","(11, 0)","(40, 4)","(26, 8)","(178, 14)","(28, 1)","(66, 10)","(18, 0)","(161, 10)","(16, 6)","(168, 13)","(103, 7)","(210, 11)","(127, 12)","(50, 11)","(198, 6)","(37, 1)","(223, 14)","(29, 1)","(63, 0)","(45, 5)","(148, 6)","(235, 6)","(181, 11)","(75, 0)","(183, 3)","(68, 4)","(149, 9)","(117, 12)","(97, 14)","(139, 13)","(181, 2)","(36, 3)","(121, 1)","(174, 6)","(113, 11)","(88, 10)","(108, 6)","(30, 9)","(56, 0)","(141, 5)","(236, 5)","(85, 9)","(57, 4)","(221, 5)","(20, 1)","(46, 12)","(193, 9)","(196, 5)","(125, 1)","(49, 2)","(235, 8)","(66, 6)","(126, 7)","(48, 5)","(155, 2)","(101, 4)","(229, 8)","(20, 3)","(102, 2)","(81, 14)","(28, 13)","(209, 14)","(158, 10)","(64, 10)","(62, 6)","(179, 6)","(130, 3)","(166, 8)","(127, 3)","(69, 2)","(84, 6)","(109, 10)","(118, 14)","(220, 5)","(116, 7)","(1, 13)"
"(157, 13)","(164, 7)","(55, 8)","(59, 11)","(190, 14)","(38, 9)","(43, 7)","(221, 6)","(184, 9)","(124, 13)","(57, 5)","(156, 1)","(46, 5)","(159, 0)","(32, 8)","(8, 9)","(240, 2)","(204, 11)","(139, 5)","(238, 8)","(97, 11)","(93, 2)","(22, 5)","(118, 1)","(11, 12)","(40, 11)","(26, 2)","(178, 8)","(28, 1)","(66, 13)","(18, 12)","(161, 13)","(16, 11)","(168, 2)","(103, 14)","(210, 0)","(127, 14)","(50, 12)","(198, 12)","(37, 2)","(223, 4)","(29, 7)","(63, 8)","(45, 8)","(148, 4)","(235, 1)","(181, 14)","(75, 4)","(183, 12)","(68, 11)","(149, 7)","(117, 3)","(97, 6)","(139, 9)","(181, 2)","(36, 13)","(121, 9)","(174, 1)","(113, 13)","(88, 1)","(108, 9)","(30, 6)","(56, 7)","(141, 7)","(236, 2)","(85, 4)","(57, 6)","(221, 4)","(20, 11)","(46, 14)","(193, 12)","(196, 7)","(125, 11)","(49, 13)","(235, 11)","(66, 2)","(126, 1)","(48, 13)","(155, 8)","(101, 9)","(229, 11)","(20, 9)","(102, 13)","(81, 7)","(28, 13)","(209, 8)","(158, 14)","(64, 11)","(62, 8)","(179, 2)","(130, 10)","(166, 13)","(127, 0)","(69, 12)","(84, 14)","(109, 3)","(118, 12)","(220, 2)","(116, 14)","(1, 5)"
"(157, 12)","(164, 6)","(55, 10)","(59, 14)","(190, 5)","(38, 6)","(43, 0)","(221, 0)","(184, 13)","(124, 1)","(57, 8)","(156, 13)","(46, 9)","(159, 4)","(32, 12)","(8, 3)","(240, 3)","(204, 12)","(139, 2)","(238, 9)","(97, 9)","(93, 12)","(22, 10)","(118, 14)","(11, 2)","(40, 0)","(26, 10)","(178, 6)","(28, 5)","(66, 8)","(18, 7)","(161, 3)","(16, 12)","(168, 11)","(103, 5)","(210, 13)","(127, 10)","(50, 6)","(198, 14)","(37, 10)","(223, 11)","(29, 5)","(63, 13)","(45, 6)","(148, 10)","(235, 7)","(181, 8)","(75, 9)","(183, 1)","(68, 5)","(149, 8)","(117, 8)","(97, 10)","(139, 5)","(181, 0)","(36, 6)","(121, 5)","(174, 0)","(113, 9)","(88, 14)","(108, 1)","(30, 0)","(56, 12)","(141, 14)","(236, 9)","(85, 13)","(57, 14)","(221, 0)","(20, 5)","(46, 10)","(193, 0)","(196, 1)","(125, 10)","(49, 7)","(235, 7)","(66, 12)","(126, 9)","(48, 11)","(155, 12)","(101, 10)","(229, 7)","(20, 13)","(102, 3)","(81, 11)","(28, 8)","(209, 11)","(158, 0)","(64, 1)","(62, 14)","(179, 5)","(130, 8)","(166, 4)","(127, 11)","(69, 5)","(84, 4)","(109, 4)","(118, 2)","(220, 13)","(116, 10)","(1, 5)"
"(157, 2)","(164, 14)","(55, 0)","(59, 5)","(190, 10)","(38, 11)","(43, 4)","(221, 4)","(184, 9)","(124, 2)","(57, 9)","(156, 10)","(46, 9)","(159, 6)","(32, 6)","(8, 10)","(240, 11)","(204, 10)","(139, 3)","(238, 5)","(97, 13)","(93, 7)","(22, 2)","(118, 9)","(11, 6)","(40, 9)","(26, 4)","(178, 13)","(28, 11)","(66, 6)","(18, 14)","(161, 5)","(16, 0)","(168, 7)","(103, 6)","(210, 5)","(127, 5)","(50, 1)","(198, 9)","(37, 7)","(223, 0)","(29, 6)","(63, 12)","(45, 5)","(148, 5)","(235, 12)","(181, 7)","(75, 2)","(183, 11)","(68, 6)","(149, 5)","(117, 0)","(97, 1)","(139, 2)","(181, 2)","(36, 11)","(121, 4)","(174, 0)","(113, 13)","(88, 7)","(108, 5)","(30, 4)","(56, 13)","(141, 11)","(236, 4)","(85, 0)","(57, 14)","(221, 6)","(20, 8)","(46, 1)","(193, 6)","(196, 3)","(125, 7)","(49, 10)","(235, 12)","(66, 11)","(126, 13)","(48, 6)","(155, 14)","(101, 13)","(229, 1)","(20, 6)","(102, 10)","(81, 5)","(28, 14)","(209, 12)","(158, 5)","(64, 13)","(62, 4)","(179, 13)","(130, 2)","(166, 7)","(127, 11)","(69, 10)","(84, 13)","(109, 2)","(118, 13)","(220, 0)","(116, 1)","(1, 1)"
"(157, 8)","(164, 12)","(55, 9)","(59, 6)","(190, 14)","(38, 7)","(43, 3)","(221, 8)","(184, 0)","(124, 9)","(57, 12)","(156, 2)","(46, 11)","(159, 1)","(32, 5)","(8, 6)","(240, 8)","(204, 2)","(139, 10)","(238, 2)","(97, 0)","(93, 6)","(22, 6)","(118, 3)","(11, 13)","(40, 14)","(26, 6)","(178, 12)","(28, 6)","(66, 11)","(18, 5)","(161, 11)","(16, 4)","(168, 6)","(103, 10)","(210, 4)","(127, 9)","(50, 3)","(198, 2)","(37, 0)","(223, 2)","(29, 1)","(63, 2)","(45, 3)","(148, 0)","(235, 11)","(181, 6)","(75, 8)","(183, 13)","(68, 10)","(149, 6)","(117, 6)","(97, 3)","(139, 2)","(181, 2)","(36, 8)","(121, 2)","(174, 13)","(113, 4)","(88, 6)","(108, 5)","(30, 2)","(56, 1)","(141, 12)","(236, 13)","(85, 1)","(57, 5)","(221, 1)","(20, 12)","(46, 9)","(193, 11)","(196, 4)","(125, 14)","(49, 6)","(235, 1)","(66, 14)","(126, 11)","(48, 4)","(155, 13)","(101, 3)","(229, 3)","(20, 8)","(102, 9)","(81, 10)","(28, 2)","(209, 13)","(158, 12)","(64, 2)","(62, 1)","(179, 8)","(130, 11)","(166, 3)","(127, 11)","(69, 6)","(84, 3)","(109, 1)","(118, 0)","(220, 10)","(116, 8)","(1, 4)"
"(157, 9)","(164, 0)","(55, 14)","(59, 9)","(190, 6)","(38, 1)","(43, 12)","(221, 2)","(184, 10)","(124, 0)","(57, 12)","(156, 8)","(46, 0)","(159, 2)","(32, 13)","(8, 2)","(240, 6)","(204, 9)","(139, 7)","(238, 0)","(97, 3)","(93, 0)","(22, 4)","(118, 11)","(11, 11)","(40, 1)","(26, 0)","(178, 4)","(28, 0)","(66, 5)","(18, 13)","(161, 7)","(16, 2)","(168, 4)","(103, 2)","(210, 7)","(127, 4)","(50, 0)","(198, 5)","(37, 5)","(223, 7)","(29, 5)","(63, 7)","(45, 2)","(148, 2)","(235, 10)","(181, 2)","(75, 13)","(183, 2)","(68, 7)","(149, 10)","(117, 11)","(97, 8)","(139, 1)","(181, 8)","(36, 2)","(121, 14)","(174, 5)","(113, 7)","(88, 13)","(108, 14)","(30, 12)","(56, 5)","(141, 6)","(236, 7)","(85, 2)","(57, 9)","(221, 7)","(20, 14)","(46, 8)","(193, 5)","(196, 6)","(125, 2)","(49, 9)","(235, 5)","(66, 12)","(126, 8)","(48, 7)","(155, 0)","(101, 7)","(229, 13)","(20, 11)","(102, 0)","(81, 13)","(28, 4)","(209, 2)","(158, 3)","(64, 9)","(62, 9)","(179, 12)","(130, 6)","(166, 0)","(127, 14)","(69, 13)","(84, 0)","(109, 7)","(118, 11)","(220, 14)","(116, 11)","(1, 11)"
"(157, 7)","(164, 4)","(55, 4)","(59, 13)","(190, 12)","(38, 5)","(43, 10)","(221, 9)","(184, 12)","(124, 4)","(57, 2)","(156, 9)","(46, 10)","(159, 7)","(32, 3)","(8, 11)","(240, 7)","(204, 13)","(139, 0)","(238, 7)","(97, 12)","(93, 10)","(22, 3)","(118, 8)","(11, 9)","(40, 13)","(26, 14)","(178, 0)","(28, 7)","(66, 14)","(18, 8)","(161, 6)","(16, 14)","(168, 12)","(103, 1)","(210, 1)","(127, 0)","(50, 4)","(198, 10)","(37, 14)","(223, 1)","(29, 6)","(63, 3)","(45, 14)","(148, 9)","(235, 1)","(181, 4)","(75, 3)","(183, 7)","(68, 13)","(149, 3)","(117, 4)","(97, 0)","(139, 9)","(181, 4)","(36, 10)","(121, 6)","(174, 12)","(113, 1)","(88, 4)","(108, 10)","(30, 13)","(56, 2)","(141, 3)","(236, 3)","(85, 10)","(57, 0)","(221, 6)","(20, 10)","(46, 0)","(193, 7)","(196, 8)","(125, 3)","(49, 12)","(235, 1)","(66, 9)","(126, 5)","(48, 12)","(155, 10)","(101, 5)","(229, 0)","(20, 4)","(102, 12)","(81, 4)","(28, 12)","(209, 1)","(158, 9)","(64, 8)","(62, 2)","(179, 3)","(130, 7)","(166, 11)","(127, 11)","(69, 9)","(84, 5)","(109, 6)","(118, 9)","(220, 11)","(116, 2)","(1, 7)"
"(157, 4)","(164, 2)","(55, 11)","(59, 1)","(190, 8)","(38, 4)","(43, 9)","(221, 7)","(184, 1)","(124, 7)","(57, 11)","(156, 14)","(46, 7)","(159, 8)","(32, 1)","(8, 4)","(240, 9)","(204, 0)","(139, 6)","(238, 14)","(97, 10)","(93, 1)","(22, 11)","(118, 2)","(11, 10)","(40, 3)","(26, 9)","(178, 7)","(28, 9)","(66, 0)","(18, 2)","(161, 2)","(16, 3)","(168, 5)","(103, 0)","(210, 12)","(127, 11)","(50, 2)","(198, 8)","(37, 6)","(223, 10)","(29, 11)","(63, 1)","(45, 11)","(148, 7)","(235, 5)","(181, 1)","(75, 5)","(183, 14)","(68, 8)","(149, 9)","(117, 9)","(97, 7)","(139, 2)","(181, 6)","(36, 6)","(121, 13)","(174, 11)","(113, 8)","(88, 0)","(108, 0)","(30, 8)","(56, 4)","(141, 10)","(236, 12)","(85, 14)","(57, 10)","(221, 8)","(20, 3)","(46, 5)","(193, 4)","(196, 11)","(125, 4)","(49, 5)","(235, 9)","(66, 11)","(126, 10)","(48, 0)","(155, 1)","(101, 1)","(229, 5)","(20, 5)","(102, 6)","(81, 6)","(28, 11)","(209, 3)","(158, 11)","(64, 0)","(62, 5)","(179, 7)","(130, 0)","(166, 10)","(127, 3)","(69, 2)","(84, 11)","(109, 9)","(118, 6)","(220, 12)","(116, 4)","(1, 2)"
"(157, 6)","(164, 1)","(55, 2)","(59, 2)","(190, 1)","(38, 10)","(43, 11)","(221, 6)","(184, 6)","(124, 6)","(57, 1)","(156, 4)","(46, 2)","(159, 5)","(32, 9)","(8, 0)","(240, 13)","(204, 14)","(139, 13)","(238, 3)","(97, 4)","(93, 13)","(22, 9)","(118, 6)","(11, 14)","(40, 5)","(26, 1)","(178, 2)","(28, 3)","(66, 9)","(18, 9)","(161, 0)","(16, 10)","(168, 10)","(103, 8)","(210, 9)","(127, 3)","(50, 6)","(198, 1)","(37, 9)","(223, 4)","(29, 2)","(63, 6)","(45, 4)","(148, 3)","(235, 2)","(181, 13)","(75, 1)","(183, 5)","(68, 11)","(149, 7)","(117, 13)","(97, 8)","(139, 12)","(181, 14)","(36, 4)","(121, 12)","(174, 14)","(113, 6)","(88, 9)","(108, 3)","(30, 10)","(56, 6)","(141, 9)","(236, 1)","(85, 8)","(57, 0)","(221, 11)","(20, 9)","(46, 6)","(193, 10)","(196, 0)","(125, 13)","(49, 3)","(235, 10)","(66, 13)","(126, 0)","(48, 14)","(155, 3)","(101, 4)","(229, 10)","(20, 5)","(102, 1)","(81, 0)","(28, 10)","(209, 0)","(158, 7)","(64, 12)","(62, 12)","(179, 14)","(130, 4)","(166, 5)","(127, 9)","(69, 7)","(84, 1)","(109, 8)","(118, 6)","(220, 1)","(116, 13)","(1, 6)"
"(157, 1)","(164, 7)","(55, 8)","(59, 6)","(190, 2)","(38, 7)","(43, 5)","(221, 3)","(184, 2)","(124, 10)","(57, 4)","(156, 0)","(46, 12)","(159, 3)","(32, 4)","(8, 12)","(240, 0)","(204, 5)","(139, 8)","(238, 11)","(97, 1)","(93, 4)","(22, 8)","(118, 5)","(11, 8)","(40, 7)","(26, 7)","(178, 3)","(28, 2)","(66, 10)","(18, 6)","(161, 5)","(16, 5)","(168, 0)","(103, 6)","(210, 8)","(127, 8)","(50, 14)","(198, 3)","(37, 12)","(223, 12)","(29, 7)","(63, 3)","(45, 12)","(148, 11)","(235, 14)","(181, 10)","(75, 14)","(183, 4)","(68, 6)","(149, 2)","(117, 7)","(97, 2)","(139, 0)","(181, 5)","(36, 9)","(121, 1)","(174, 4)","(113, 3)","(88, 3)","(108, 7)","(30, 0)","(56, 8)","(141, 1)","(236, 2)","(85, 3)","(57, 8)","(221, 0)","(20, 0)","(46, 3)","(193, 1)","(196, 9)","(125, 5)","(49, 11)","(235, 3)","(66, 2)","(126, 12)","(48, 5)","(155, 9)","(101, 8)","(229, 9)","(20, 7)","(102, 4)","(81, 12)","(28, 10)","(209, 7)","(158, 1)","(64, 7)","(62, 13)","(179, 4)","(130, 3)","(166, 14)","(127, 8)","(69, 6)","(84, 12)","(109, 11)","(118, 2)","(220, 9)","(116, 9)","(1, 0)"
"(157, 5)","(164, 9)","(55, 3)","(59, 0)","(190, 7)","(38, 8)","(43, 1)","(221, 13)","(184, 11)","(124, 5)","(57, 6)","(156, 5)","(46, 13)","(159, 11)","(32, 0)","(8, 14)","(240, 11)","(204, 1)","(139, 4)","(238, 13)","(97, 7)","(93, 8)","(22, 14)","(118, 7)","(11, 7)","(40, 12)","(26, 14)","(178, 14)","(28, 13)","(66, 4)","(18, 3)","(161, 9)","(16, 12)","(168, 9)","(103, 12)","(210, 6)","(127, 7)","(50, 7)","(198, 11)","(37, 8)","(223, 5)","(29, 4)","(63, 7)","(45, 6)","(148, 12)","(235, 8)","(181, 3)","(75, 7)","(183, 8)","(68, 3)","(149, 14)","(117, 10)","(97, 12)","(139, 4)","(181, 5)","(36, 0)","(121, 0)","(174, 4)","(113, 10)","(88, 11)","(108, 2)","(30, 1)","(56, 10)","(141, 2)","(236, 6)","(85, 9)","(57, 3)","(221, 12)","(20, 2)","(46, 11)","(193, 4)","(196, 10)","(125, 9)","(49, 1)","(235, 14)","(66, 9)","(126, 2)","(48, 1)","(155, 5)","(101, 2)","(229, 2)","(20, 7)","(102, 8)","(81, 1)","(28, 0)","(209, 9)","(158, 4)","(64, 9)","(62, 0)","(179, 11)","(130, 5)","(166, 12)","(127, 3)","(69, 1)","(84, 10)","(109, 13)","(118, 3)","(220, 8)","(116, 5)","(1, 9)"
